,RT+,RT+,RT+,RT+,,RT+,RT+,RT+,RT+,,RT+,RT+,RT+,RT+,,RT+,RT+,RT+,RT+,,RT+,RT+,RT+,,RT+,RT+,RT+,RT+,
,A,A,A,A,,A,A,A,A,,A,A,A,A,,A,A,A,A,,A,A,A,,A,A,A,A,
,9,10,11,12,,13,14,15,16,,29,30,31,32,,33,34,35,36,,44,45,46,,52,53,54,55,
Unique ID,X2B9B66w,X2B10B66w,X2B11B66w,X2B12B66w,,X2B13B69w,X2B14B69w,X2B15B69w,X2B16B69w,,X2C17C3H6w,X2C18C3H6w,X2C19C3H6w,X2C20C3H6w,,X2C21C3H9w,X2C22C3H9w,X2C23C3H9w,X2C24C3H9w,,X2R1C3HR6w,X2R2C3HR6w,X2R3C3HR6w,,X2H1B6S9w,X2H2B6S9w,X2H3B6S9w,X2H4B6S9w,
Mouse ID,B9,B10,B11,B17,,B13,B14,B15,B16,,C17,C18,C19,C20,,C21,C22,C23,C24,,R1,R2,R3,,H1,H2,H3,H4,
Mouse Strain,B6,B6,B6,B6,,B6,B6,B6,B6,,C3H,C3H,C3H,C3H,,C3H,C3H,C3H,C3H,,C3H.B6-sst1,C3H.B6-sst1,C3H.B6-sst1,,B6.C3H-sst1,B6.C3H-sst1,B6.C3H-sst1,B6.C3H-sst1,
Time Post Infection,6 weeks,6 weeks,6 weeks,6 weeks,6 weeks median,9 weeks,9 weeks,9 weeks,9 weeks,9 weeks median,6 weeks,6 weeks,6 weeks,6 weeks,6 weeks median,9 weeks,9 weeks,9 weeks,9 weeks,9 weeks median,6 weeks,6 weeks,6 weeks,6 weeks median,9 weeks,9 weeks,9 weeks,9 weeks,9 weeks median
Rv0002,27.58,25.96,26.46,26.86,26.66,25.34,27.04,26.43,28.37,26.73,25.52,26.13,25.57,26.13,25.85,25.51,25.96,25.15,25.18,25.34,25.4,26.28,25.96,25.96,25.55,35,25.1,26.39,25.97
Rv0003,25.19,25.88,25.4,26.12,25.64,25.67,27.02,25.49,26.17,25.92,24.59,25.07,25.67,24.85,24.96,25.31,25.1,25.26,24.91,25.18,24.95,25.32,25.8,25.32,25.5,25.24,24.88,25.94,25.37
Rv0004,28.17,27.46,29.78,35,28.97,28.88,35,32.16,28.48,30.52,28.27,28.29,28.14,29.05,28.28,28.77,28.36,28.18,28.02,28.27,30.23,29.02,28.49,29.02,28.76,35,28.48,35,31.88
Rv0005,21.96,23.18,21.6,22.59,22.28,21.01,22.21,21.12,22.24,21.67,21.08,22.04,21.51,22.24,21.77,21.25,21.23,21.18,21.17,21.2,21.56,22.58,21.57,21.57,20.87,22.15,21.28,22.34,21.72
